item_code,uom,deepseek_decision,gemini_decision,agree,finish_exact,model_exact,rights_status,reason,human_action
TAP-SAN-SWP-B-2930,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-2930; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
IND-RIC-COO-RC7878,SET,pending,pending,yes,unresolved,yes,needs_permission,Reverified pending: fail-closed upheld for IND-RIC-COO-RC7878; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
FAN-STA-KHI-SF1663H,SET,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for FAN-STA-KHI-SF1663H; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
TAP-SAN-SWP-B-2924,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TAP-SAN-SWP-B-2924; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-B-2921,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TAP-SAN-SWP-B-2921; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
CAB-SAN-SWBC-SS6615,SET,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for CAB-SAN-SWBC-SS6615; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
GAS-STO-RUB-TAE10-M523,UNIT,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for GAS-STO-RUB-TAE10-M523; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
TAP-SAN-SWP-SS-304-3970-MB,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TAP-SAN-SWP-SS-304-3970-MB; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TOI-TRP-WC-8826-S,SET,pending,pending,yes,yes,yes,needs_permission,Reverified pending: fail-closed upheld for TOI-TRP-WC-8826-S; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
CAB-SAN-SWBC-SS6411,SET,pending,pending,yes,unresolved,yes,needs_permission,Reverified pending: fail-closed upheld for CAB-SAN-SWBC-SS6411; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
SHO-HAN-SWP-HS-502,SET,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for SHO-HAN-SWP-HS-502; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
FAN-CEI-KHI-WHI-CF618,SET,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for FAN-CEI-KHI-WHI-CF618; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
OVEN-RUB-TAE13-M265,UNIT,pending,pending,yes,unresolved,yes,needs_permission,Reverified pending: fail-closed upheld for OVEN-RUB-TAE13-M265; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-SS-304-3970,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TAP-SAN-SWP-SS-304-3970; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TOI-TRP-WC-SRTWC8354-SH-UF(250MM),PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TOI-TRP-WC-SRTWC8354-SH-UF(250MM); no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
SHO-SOR-SRTWT2634-RG,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTWT2634-RG; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
STA-GRI-SG6100,UNIT,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for STA-GRI-SG6100; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
STA-DRI-SCH10D2K,UNIT,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for STA-DRI-SCH10D2K; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TOI-TRP-WC-2110A-S,SET,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TOI-TRP-WC-2110A-S; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TOI-TRP-WC-2122A-S,SET,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TOI-TRP-WC-2122A-S; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for TOI-TRP-WC-SRTWC286-SH-S(250MM); exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
TOI-TRP-WC-SRTWC8504-S,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TOI-TRP-WC-SRTWC8504-S; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
STA-GRI-SCG400-SOLO,UNIT,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for STA-GRI-SCG400-SOLO; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
SHO-SOR-SRTWT2634,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTWT2634; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
STA-ROT-HAM-SHR243KA,UNIT,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for STA-ROT-HAM-SHR243KA; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
SHO-SOR-SRTSH22614-BL,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTSH22614-BL; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
SIN-SOR-SRTKS6091,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for SIN-SOR-SRTKS6091; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
FAN-CEI-LED-RCF-MOZIA56-5BL-BT,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for FAN-CEI-LED-RCF-MOZIA56-5BL-BT; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
TOI-TRP-WC-SRTWC8366-S(250MM),PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TOI-TRP-WC-SRTWC8366-S(250MM); no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TOI-TRP-WC-SRTWC8518-SH-S,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TOI-TRP-WC-SRTWC8518-SH-S; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
GAS-STO-RUB-TAE10-E102,UNIT,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for GAS-STO-RUB-TAE10-E102; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
ELE-BUL-B22-3W-RED,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for ELE-BUL-B22-3W-RED; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
ELE-BUL-E27-10W-RED,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for ELE-BUL-E27-10W-RED; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
MIR-SWBC-SS6414,SET,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for MIR-SWBC-SS6414; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
OVEN-RUB-TAE13-M507,UNIT,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for OVEN-RUB-TAE13-M507; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
SHO-SOR-SRTSH2623-BL,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTSH2623-BL; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
SIN-SOR-SRTKS2426-BL,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for SIN-SOR-SRTKS2426-BL; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
SHO-SAN-SWP-BSP-5505B,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for SHO-SAN-SWP-BSP-5505B; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-SS-304-3950-MB,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TAP-SAN-SWP-SS-304-3950-MB; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
FAN-CEI-RCF-MOZIA56-5B-BT,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for FAN-CEI-RCF-MOZIA56-5B-BT; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
TOI-TRP-WC-SRTWC8840-S,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TOI-TRP-WC-SRTWC8840-S; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
BATH-SRTBF31416,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for BATH-SRTBF31416; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
ELE-D/L-MEG-YTT100ZI-30W,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for ELE-D/L-MEG-YTT100ZI-30W; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
RUB-TAE10-M371,UNIT,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for RUB-TAE10-M371; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
SHO-SAN-SWP-BSP-5504B,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for SHO-SAN-SWP-BSP-5504B; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
SIN-SOR-SRTKS2431,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: confirmed fail-closed decision. No exact official SRTKS2431 image asset found; prior unauthorized dealer photo correctly rejected and not reused.,Keep pending until official manufacturer Nanograin SRTKS2431 image is supplied.
ELE-CAB-WIR-MKK-2.5MM-RED,ROLL,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for ELE-CAB-WIR-MKK-2.5MM-RED; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
FAN-CEI-DEKA-CGNL54MB12,UNIT,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for FAN-CEI-DEKA-CGNL54MB12; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
KHI-HDR-HD515,SET,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for KHI-HDR-HD515; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
OVEN-RUB-TAE13-M503,UNIT,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for OVEN-RUB-TAE13-M503; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
ELE-CAB-WIR-MKK-2.5MM-BLACK,ROLL,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for ELE-CAB-WIR-MKK-2.5MM-BLACK; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
MIR-SWBC-SS6811,SET,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for MIR-SWBC-SS6811; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
SPR-BID-SWP-SS-304-6875-BA,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for SPR-BID-SWP-SS-304-6875-BA; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-SS-304-3950,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TAP-SAN-SWP-SS-304-3950; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-B-3213-G,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TAP-SAN-SWP-B-3213-G; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
BATH-SRTBF31514,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for BATH-SRTBF31514; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
FAN-CEI-DEKA-CF66DC66MB12,UNIT,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for FAN-CEI-DEKA-CF66DC66MB12; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
JOV-WAT-FIL-JP200,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for JOV-WAT-FIL-JP200; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
KHI-HDR-HD511-GRE,SET,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for KHI-HDR-HD511-GRE; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
SHO-SOR-SRTWT9605RG,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTWT9605RG; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
SHO-SOR-SRTWT9614,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for SHO-SOR-SRTWT9614; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-SS-304-3939,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TAP-SAN-SWP-SS-304-3939; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
X-GAS-STO-RUB-TAE10-M372,UNIT,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for X-GAS-STO-RUB-TAE10-M372; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
FAN-FLO-KHI-FF2005,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: visual audit confirms FF2005 asset is visually black (black fan body/grille on white background); exact 20-inch industrial floor fan model FF2005 confirmed on official Khind Malaysia page.,Preserve verified black official asset for evidence manifest; publication permission remains required.
SIN-SOR-SRTKS2427-BL,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for SIN-SOR-SRTKS2427-BL; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
BAS-SOR-SRTWB7132,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for BAS-SOR-SRTWB7132; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
ELE-D/L-MEG-YTPDGLE5-70W,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for ELE-D/L-MEG-YTPDGLE5-70W; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
X-ELE-LED-FFL-CHA-10W,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for X-ELE-LED-FFL-CHA-10W; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
ELE-BUL-E27-3W-BLUE,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for ELE-BUL-E27-3W-BLUE; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
ELE-HOL-TC818-E27,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for ELE-HOL-TC818-E27; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
FAN-WAL-KHI-FW1660TH,SET,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for FAN-WAL-KHI-FW1660TH; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
KHI-POT-AP550,SET,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for KHI-POT-AP550; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
RAINBOW-G888-250GM,BTL,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for RAINBOW-G888-250GM; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-B-3203-RG,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-3203-RG; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
TAP-SAN-SWP-SS-3391,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TAP-SAN-SWP-SS-3391; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
SPR-BID-SWP-SS-304-6875A,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for SPR-BID-SWP-SS-304-6875A; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
