item_code,uom,source_file,prior_status,gemini_decision,agree,finish_exact,model_exact,rights_status,reason,human_action
ELE-BUL-E27-3W-RED,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Discovery confirms a Taicon 3W color-bulb family but not exact row proof.,Request package photo/model code and Taicon/importer image/specification.
TAP-SAN-SWP-B-2521,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact SKU/title/image and manufacturer page; packaging is separate from identity.,Request Saniware permission and confirm PCS is one mixer from 1-set box.
JOV-WAT-HEA-SB11IP-BLK-RS,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Manufacturer lists multiple materially different SB11iP-RS variants; source row is under-specified.,Request Joven model label showing SB11iP-RS and kW rating plus exact image.
RUB-TAE11-M330,UNIT,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact official model page/image/spec; source display name is generic but detected model is exact.,Confirm RUB-TAE11-M330 maps to RCH-NOVARA-90SS; request Rubine permission.
STA-ROT-HAM-SHR263KA,UNIT,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Family/spec evidence is insufficient for exact regional package.,Request model plate/box label and Stanley or importer confirmation; do not use dealer image.
TAP-SAN-SWP-B-3023,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact official page states Rose Gold Pillar Tap and exact model image.,Request Saniware permission for exact SWP-B-3023 asset.
OVEN-RUB-TAE13-M266,UNIT,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Exact current Rubine page, model, 70L, 8 functions and direct asset; IA6X explicitly treated as sibling.",Request Rubine permission for exact IA8X image.
KHI-COO-RC3636,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Exact 3.6L RC365 page exists but strict source-code/finish chain is incomplete.,Request owner photo/label confirming RC365 and Cool Grey; do not approve until code/finish mapping.
SHO-SOR-SRTSA830,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact page and exact labeled catalogue crop; candidate image confidence 91 after visual sibling elimination.,Request direct SRTSA830 asset or crop approval; preserve page 64/printed 58 crop.
SHO-SOR-SRTSA860-GM,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Exact regional page text says SRTSA860-GM, SS304, 400mm, Gunmetal; direct asset filename is exact.",Request Sorento permission for exact SRTSA860-GM asset.
JOV-WAT-HEA-SB11IP-WHI,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Variant cannot be selected without the omitted electrical rating.,Request Joven model label with SB11iP rating and exact asset.
TAP-SAN-SWP-SS-304-3940-RG,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact official SKU/page/image; textual Rose Gold and 1set/box/10sets/ctn.,Request Saniware permission and confirm 1set/box against PCS.
TOI-TRP-WC2300-S,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Exact SKU, one-piece title, trap distances and exact image.",Request Saniware permission for WC-2300 image.
FAN-STA-KHI-SF1682,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,no,needs_permission,No exact product image or suffix mapping.,"Request exact SF1682SE product page, manual or box label; never use guard-lock image."
ELE-BUL-E27-15W-RED,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Do not map E2-Red discovery to E27 source row without evidence.,"Request label showing base, wattage and exact Taicon model plus approved image."
TAP-SAN-SWP-B-3213,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact SKU/title/direct image; packaging recorded separately.,Confirm Ekoway PCS convention and request Saniware image permission.
JOV-WAT-HEA-SL30IP-WHI-AWB,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,no,needs_permission,No defensible exact code-to-model mapping.,"Request product label, invoice or written Joven mapping for AWB."
TOI-TRP-WC2098RL-S,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Closest exact family page is not exact source variant.,Request exact WC2098RL-S250MM label and image; do not use WC-2098-S300 asset.
SIN-SOR-SRTKS2429-BL,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact model/finish/dimensions printed adjacent to unique black item image; siblings eliminated.,Request Sorento permission and preserve crop coordinates.
TAP-SAN-SWP-B-2934,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Exact model/image but material finish field unresolved; forensic rule requires pending.,Request Saniware written finish name and pack/UOM clarification.
TAP-SAN-SWP-B-2931,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact model page/title/image and matt-black description; sibling chrome/gold pages excluded.,Request Saniware permission and confirm PCS/box convention.
TAP-SAN-SWP-B-2930,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact model page/title/image; exact chrome/metallic appearance and pack text.,Request Saniware permission and confirm PCS/box convention.
IND-RIC-COO-RC7878,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact page/spec/image and color; UOM separated as internal convention.,Request Khind permission and confirm SET means one retail RC565 with included accessories.
FAN-STA-KHI-SF1663H,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Exact page names model, black, 16-inch and 50W; image embedded on exact page.",Request Khind permission; confirm SET represents one complete fan.
TAP-SAN-SWP-B-2924,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,no,needs_permission,Exact official page and image absent.,Request exact 2924 image and finish documentation; do not substitute 2934/3023.
TAP-SAN-SWP-B-2921,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,no,needs_permission,Do not substitute 2931 image.,Request exact 2921 image and written SKU/finish confirmation.
CAB-SAN-SWBC-SS6615,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Exact page confirms cabinet, ceramic basin, mirror, shelf, tap and waste; UOM SET matches.",Request permission for complete set image and retain included-component list.
GAS-STO-RUB-TAE10-M523,UNIT,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Exact current product page, model, 2-burner/flexi features and direct asset.",Request Rubine permission for exact RGH image.
TAP-SAN-SWP-SS-304-3970-MB,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,no,needs_permission,Exact model/finish proof absent.,Request exact 3970MB image and finish/SKU confirmation; never use 3940MB/RG.
TOI-TRP-WC-8826-S,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,yes,yes,needs_permission,"Product/image exact, but source-code mapping is unresolved under strict gate.",Request confirmation that -S maps to S-trap 250mm and retain direct exact image only after mapping.
CAB-SAN-SWBC-SS6411,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Exact page confirms cabinet, ceramic basin, mirror, shelf, tap and waste; SET matches.",Request permission for complete SWBC-SS6411 set image.
SHO-HAN-SWP-HS-502,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,no,needs_permission,Public evidence ceiling reached for exact 502.,Request exact SWP-HS-502 image and component/pack confirmation; do not use HS-504.
FAN-CEI-KHI-WHI-CF618,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,no,needs_permission,Manual collection existence alone cannot support exact image.,Request exact CF618 product page/label/photo and package contents.
OVEN-RUB-TAE13-M265,UNIT,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,no,needs_permission,Exact model string is source-detected but no exact product image/page evidence.,Request exact IA6X asset or model plate; do not use IA8X image.
TAP-SAN-SWP-SS-304-3970,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,no,needs_permission,Exact model is mentioned in discovery material but not established as a final authoritative image source.,"Request exact 3970 product image, finish and package/UOM confirmation; do not use 3970MB/3940 assets."
TOI-TRP-WC-SRTWC8354-SH-UF(250MM),PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Source SRTWC8354-SH-UF(250MM) vs catalogue SRTWC8354-SH with PP seat cover; UF suffix unresolved.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
SHO-SOR-SRTWT2634-RG,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official catalogue p.63 names SRTWT2634-RG as a 3-Ways Exposed Shower Set c/w Spout, ABS rain shower head 188x288mm, 3-functions self-clean silicone-nozzle ABS hand shower, solid-brass body, Rose Gold + Matt Black.",Obtain official manufacturer rights clearance.
STA-GRI-SG6100,UNIT,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,SG6100 vs SG6100-XD; exact image and package not preserved.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
STA-DRI-SCH10D2K,UNIT,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,no,yes,needs_permission,SCH10D2K vs SCH10D2K-B1 package suffix.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
TOI-TRP-WC-2110A-S,SET,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,S200 vs S250MM trap size.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
TOI-TRP-WC-2122A-S,SET,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,S300 vs S250MM trap size.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official catalogue p.7 names SRTWC286-SH, Twister Flushing Technology, L680xW365xH735mm, S-trap 150/200/250mm and P-trap 180mm; source specifies 250mm.",Obtain official manufacturer rights clearance.
TOI-TRP-WC-SRTWC8504-S,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Source -S vs official catalogue -RL; exact suffix mapping unresolved.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
STA-GRI-SCG400-SOLO,UNIT,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,SCG400 vs SCG400-SOLO exact package.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
SHO-SOR-SRTWT2634,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official catalogue p.62 names SRTWT2634 as a Chrome 3-Ways Exposed Shower Set c/w Spout, ABS rain shower head 188x288mm, 3-functions self-clean silicone-nozzle ABS hand shower and solid-brass body.",Obtain official manufacturer rights clearance.
STA-ROT-HAM-SHR243KA,UNIT,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,no,no,needs_permission,Exact package/kit suffix and image unresolved.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
SHO-SOR-SRTSH22614-BL,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official catalogue p.65 names SRTSH22614-BL Rain Shower Head, D 200x200mm / 8x8in, Matt Black.",Obtain official manufacturer rights clearance.
SIN-SOR-SRTKS6091,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,SRTKS6091 vs variant record SRTKS6091-02; exact dimensions/finish/image missing.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
FAN-CEI-LED-RCF-MOZIA56-5BL-BT,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official page exactly identifies RCF-MOZIA56-5BL, 22W tri-colour LED, 8F+8R RF remote, turbo speed, and Black Timber/Matte Black options.",Obtain official manufacturer rights clearance.
TOI-TRP-WC-SRTWC8366-S(250MM),PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Source -S vs official -RL-UF; exact seat-cover/finish mapping unresolved.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
TOI-TRP-WC-SRTWC8518-SH-S,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,SRTWC8518-SH-S source vs SRTWC8518 seat-cover record; exact WC page/image unavailable.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
GAS-STO-RUB-TAE10-E102,UNIT,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official page exactly identifies RCE-VULCAN40-BL built-in ceramic electric hob, ceramic-horizontal, beveled glass/aluminium frame, residual heat warning, KONSTEC heat control, safety lock and timer.",Obtain official manufacturer rights clearance.
ELE-BUL-B22-3W-RED,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,no,no,needs_permission,"Exact Taicon part number, B22-only variant, and image unresolved.",Re-preserve exact authoritative evidence and resolve recorded ambiguity.
ELE-BUL-E27-10W-RED,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,no,no,needs_permission,Exact Taicon SKU and red variant image unresolved.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
MIR-SWBC-SS6414,SET,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Exact cabinet/tap/basin component list and image missing.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
OVEN-RUB-TAE13-M507,UNIT,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Source RMO-934SS-GD34X vs official RMO-934SS-GD34; X suffix unresolved.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
SHO-SOR-SRTSH2623-BL,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official catalogue p.65 names SRTSH2623-BL Rain Shower Head, D Ø225mm / 9in, Matt Black.",Obtain official manufacturer rights clearance.
SIN-SOR-SRTKS2426-BL,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official catalogue p.94 names SRTKS2426-BL, L540xW440xH230mm, Matt Black.",Obtain official manufacturer rights clearance.
SHO-SAN-SWP-BSP-5505B,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,yes,needs_permission,Official Saniware page absent/404; dealer authority and asset rights require confirmation.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
TAP-SAN-SWP-SS-304-3950-MB,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,No exact direct image URL exposed; official Saniware page returned 404.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
FAN-CEI-RCF-MOZIA56-5B-BT,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official page exactly identifies RCF-MOZIA56-5B, non-LED DC fan, 8F+8R RF remote, turbo/sleep mode, aerodynamic ABS blades, and Black Timber/Matte Black options.",Obtain official manufacturer rights clearance.
TOI-TRP-WC-SRTWC8840-S,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,yes,needs_permission,Source -S vs official -RL.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
BATH-SRTBF31416,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,no,yes,needs_permission,4-in-1 official catalogue vs 5-in-1 dealer set; exact component package and image unresolved.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
ELE-D/L-MEG-YTT100ZI-30W,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,yes,needs_permission,YTT100ZI vs official YTT100Z1; exact internal code needs owner confirmation.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
RUB-TAE10-M371,UNIT,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official page exactly identifies RGH-FIGATA2B-BL built-in gas hob, Dritto/Straight flame, 5.0kW flame power, FFD, convex burner plate and battery ignition.",Obtain official manufacturer rights clearance.
SHO-SAN-SWP-BSP-5504B,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Exact model page/image inaccessible; 2-way configuration only from source/discovery.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
SIN-SOR-SRTKS2431,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,pending,no,yes,yes,needs_permission,Prior file accepted candidate asset from third-party retailer/dealer buildershardware.com.my rather than official Sorento OEM catalogue/portal. Fails marketplace/dealer gate.,Preserve exact official Sorento catalogue page or OEM manufacturer asset for SRTKS2431.
ELE-CAB-WIR-MKK-2.5MM-RED,ROLL,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,"Exact MKK part number, conductor standard, insulation rating and image missing.",Re-preserve exact authoritative evidence and resolve recorded ambiguity.
FAN-CEI-DEKA-CGNL54MB12,UNIT,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,yes,needs_permission,Source 54LED/CGNL54MB12 vs official base Geno 54 LED Power N/A.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
KHI-HDR-HD515,SET,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official Khind page exactly identifies Hair Dryer HD1800, 1800W, 240V~50Hz, Matt Black, 1.8m cable, 0.5kg net weight, folded/unfolded dimensions.",Obtain official manufacturer rights clearance.
OVEN-RUB-TAE13-M503,UNIT,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official page exactly identifies RMO-OREO-28BL built-in microwave with grill, 28L, 8 auto menus, electronic control/LCD, child lock, stainless-steel cavity and 595x400x388mm.",Obtain official manufacturer rights clearance.
ELE-CAB-WIR-MKK-2.5MM-BLACK,ROLL,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,"Exact MKK part number, conductor standard, insulation rating and image missing.",Re-preserve exact authoritative evidence and resolve recorded ambiguity.
MIR-SWBC-SS6811,SET,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Exact cabinet/tap/basin component list and image missing.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
SPR-BID-SWP-SS-304-6875-BA,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,No direct exact image URL exposed; official Saniware page returned 404.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
TAP-SAN-SWP-SS-304-3950,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,No exact direct image URL exposed; official Saniware page returned 404.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
TAP-SAN-SWP-B-3213-G,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Gold exact page/image is dealer-only; manufacturer page exists only for base stainless model.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
BATH-SRTBF31514,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,No direct exact image URL exposed; mirror cabinet + package components differ from other furniture families.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
FAN-CEI-DEKA-CF66DC66MB12,UNIT,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Source CF66DC66MB12 vs official base F66 DC; possible LED/variant suffix.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
JOV-WAT-FIL-JP200,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Source red vs official white asset; red model-specific SKU/image not proven.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
KHI-HDR-HD511-GRE,SET,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Ekoway HD511-GRE / Matt Grey vs official HD1400 model; exact finish/internal-code mapping needs confirmation.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
SHO-SOR-SRTWT9605RG,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Official catalogue p.62 names SRTWT9605-RG 2-Ways Exposed Shower Set, ABS rain shower head 220mm, 5-functions ABS hand shower, solid-brass body, push-button diverter and Rose Gold finish.",Obtain official manufacturer rights clearance.
SHO-SOR-SRTWT9614,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Exact image and full finish/color fields not exposed.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
TAP-SAN-SWP-SS-304-3939,PCS,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,"Exact double-spout product page, dimensions, finish and image missing.",Re-preserve exact authoritative evidence and resolve recorded ambiguity.
X-GAS-STO-RUB-TAE10-M372,UNIT,priority50_forensic_audit_input/products_51_100_forensic/products_51_100_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Exact official page/image inaccessible; exact burner/spec variant not preserved.,Re-preserve exact authoritative evidence and resolve recorded ambiguity.
