source_position,item_code,uom,display_name,category,detected_brand,detected_model,gemini_decision,agree,finish_exact,model_exact,gemini_reason,action,hint_source,hint_page,hint_image,hint_status,pilot_page
11,JOV-WAT-HEA-SL30E-WHI-RS,PCS,Joven (white) Instant Water Heater SL30E-RS,Home Appliances,Joven,SL30E-RS,candidate,yes,yes,yes,"Exact product page, SKU, white selector variant, RS accessory fingerprint and image asset.",carry_forward,priority50_forensic,https://www.joven-electric.com/my/sl30e-rs-instant-water-heater-5100601.html,https://www.joven-electric.com/media/catalog/product/cache/81feca21a488f339124f3c58fa0f1a2e/5/1/5100601001-4_2.jpg,candidate,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html
12,SHO-SAN-SWP-BSP-9003G,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold),Bathroom,Saniware,3WAY,candidate,yes,yes,yes,Exact official SKU/title/image and 1set/box 5sets/ctn packaging; complete set image verified.,carry_forward,priority50_forensic,https://saniware.com/product/3-way-bath-shower-set-swp-bsp-9003g/,https://saniware.com/wp-content/uploads/2025/05/SWP-BSP-9003G.jpg,candidate,
13,SHO-SAN-SWP-BSP-9003RG,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold),Bathroom,Saniware,3WAY,candidate,yes,yes,yes,Exact SKU/page/image and set packaging; finish explicitly named in page title/description.,carry_forward,priority50_forensic,https://saniware.com/product/3-way-bath-shower-set-swp-bsp-9003rg/,https://saniware.com/wp-content/uploads/2025/05/SWP-BSP-9003RG.jpg,candidate,
14,TAP-SAN-SWP-RG-304-3905,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-RG-304-3905,Kitchen & Sinks,Saniware,SWP-RG-304-3905,pending,yes,no,no,Exact identity and image proof unavailable.,search,priority50_forensic,,,pending,
15,FAN-CEI-DEKA-CF5DCL46MB12,UNIT,Deka Ceiling Fan F5 DC~46L Pro Matt Blk,Fans & Ventilation,Deka,DC~46L,candidate,yes,yes,yes,Corrected from sibling F5 DC 46 PRO to exact 46L LED model; official page explicitly answers difference.,carry_forward,priority50_forensic,https://deka.my/f5-dc-46l-pro/,https://deka.my/wp-content/uploads/2025/07/F5-DC-46L-PRO-MB-Jpg-OK.jpg,candidate,https://deka.my/wp-content/uploads/2026/01/F5-DC-PRO-DX-PRO-IM.pdf
16,ELE-BUL-E27-3W-RED,PCS,Taicon E27 3W LED Color Bulb-red,Lighting,Taicon,E27,pending,yes,yes,no,Discovery confirms a Taicon 3W color-bulb family but not exact row proof.,search,priority50_forensic,https://www.facebook.com/100063586223862/posts/taicon-3w-b22e27-led-colour-bulb3w-b22-led-colour-bulb%EF%B8%8Fblue%EF%B8%8Fred%EF%B8%8Fyellow%EF%B8%8Fwhite%EF%B8%8Fpin/1546526540810205/,,pending,
17,TAP-SAN-SWP-B-2521,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2521,Bathroom,Saniware,SWP-B-2521,candidate,yes,yes,yes,Exact SKU/title/image and manufacturer page; packaging is separate from identity.,carry_forward,priority50_forensic,https://saniware.com/product/swp-b-2521/,https://saniware.com/wp-content/uploads/2021/10/SWP-B-2521.png,candidate,https://saniware.com/product-category/faucet/mixer-series/
18,JOV-WAT-HEA-SB11IP-BLK-RS,PCS,Joven (blk) Instant Water Heater,Home Appliances,Joven,SB11IP-RS,pending,yes,no,yes,Manufacturer lists multiple materially different SB11iP-RS variants; source row is under-specified.,search,priority50_forensic,https://www.joven-electric.com/my/products/instant-water-heater/sb11-series.html,,pending,https://www.joven-electric.com/my/products/instant-water-heater/sb11-series.html
19,RUB-TAE11-M330,UNIT,Rubine C/hood,Home Appliances,Rubine,RCH-NOVARA-90SS,candidate,yes,yes,yes,Exact official model page/image/spec; source display name is generic but detected model is exact.,carry_forward,priority50_forensic,https://www.rubine.com.my/product/RCH-NOVARA-90SS,https://www.rubine.com.my/files/product_img/IM01791.jpg,candidate,
20,STA-ROT-HAM-SHR263KA,UNIT,Stanley Rotary Hammer 26MM,Power Tools,Stanley,SHR263KA,pending,yes,yes,no,Family/spec evidence is insufficient for exact regional package.,search,priority50_forensic,https://theleedenstore.com.my/product/stanley-shr263ka-xd-2kg-26mm-rotary-hammer-with-chisel-drill-bit-tool-box/,,pending,
21,TAP-SAN-SWP-B-3023,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-B-3023,Bathroom,Saniware,SWP-B-3023,candidate,yes,yes,yes,Exact official page states Rose Gold Pillar Tap and exact model image.,carry_forward,priority50_forensic,https://saniware.com/product/swp-b-3023/,https://saniware.com/wp-content/uploads/2021/10/SWP-B-3023.png,candidate,
22,OVEN-RUB-TAE13-M266,UNIT,Rubine Built-in Oven RBO-IA8X-70SS,Home Appliances,Rubine,RBO-IA8X-70SS,candidate,yes,yes,yes,"Exact current Rubine page, model, 70L, 8 functions and direct asset; IA6X explicitly treated as sibling.",carry_forward,priority50_forensic,https://www.rubine.com.my/product/RBO-IA8X-70SS,https://www.rubine.com.my/files/product_img/IM01811.jpg,candidate,https://www.rubine.com.my/manual-download.php?parent_id=all
23,KHI-COO-RC3636,SET,3.6L Rice Cooker (cool Grey),Home Appliances,Khind,KHIND-RC365,pending,yes,no,yes,Exact 3.6L RC365 page exists but strict source-code/finish chain is incomplete.,search,priority50_forensic,https://khind.com.my/products/3-6l-commercial-rice-cooker,https://khind.com.my/cdn/shop/files/ssmy.zone-1717059514-RC365_WH_Cover.jpg?v=1751809047,pending,https://khind.com.my/products/khind-rice-cooker-rc360
24,SHO-SOR-SRTSA830,PCS,Sorento 450MM Shower Arm,Bathroom,Sorento,SRTSA830,candidate,yes,yes,yes,Exact page and exact labeled catalogue crop; candidate image confidence 91 after visual sibling elimination.,carry_forward,priority50_forensic,https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/showerarm-mobile/srtsa830-detail,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=64,candidate,https://sorento.com.my/bathroom/shower-bidet/shower-arm/srtsa830-detail
25,SHO-SOR-SRTSA860-GM,PCS,Sorento 400MM Shower Arm,Bathroom,Sorento,SRTSA860-GM,candidate,yes,yes,yes,"Exact regional page text says SRTSA860-GM, SS304, 400mm, Gunmetal; direct asset filename is exact.",carry_forward,priority50_forensic,https://sorentomasterclub.com.my/international/index.php/products-menu/sorento-mobile/bathroom-mobile/showerbidet-mobile/showerarm-mobile/srtsa860-gm-detail,https://sorentomasterclub.com.my/international/images/virtuemart/product/SRTSA860-GM-(product).jpg,candidate,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf
26,JOV-WAT-HEA-SB11IP-WHI,PCS,Joven (white) Instant Water Heater SB11IP,Home Appliances,Joven,SB11IP,pending,yes,no,yes,Variant cannot be selected without the omitted electrical rating.,search,priority50_forensic,https://www.joven-electric.com/my/products/instant-water-heater/sb11-series.html,,pending,https://www.joven-electric.com/my/products/instant-water-heater/sb11-series.html
27,TAP-SAN-SWP-SS-304-3940-RG,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG,Kitchen & Sinks,Saniware,SWP-SS-304-3940-RG,candidate,yes,yes,yes,Exact official SKU/page/image; textual Rose Gold and 1set/box/10sets/ctn.,carry_forward,priority50_forensic,https://saniware.com/product/kitchen-pillar-sink-tap-swp-ss-304-3940-rg/,https://saniware.com/wp-content/uploads/2025/05/SWP-SS-304-3940-RG-1.jpg,candidate,
28,TOI-TRP-WC2300-S,SET,Saniware One Piece Washdown Closet,Bathroom,Saniware,WC2300-S250MM,candidate,yes,yes,yes,"Exact SKU, one-piece title, trap distances and exact image.",carry_forward,priority50_forensic,https://saniware.com/product/one-piece-washdown-closet-wc-2300-s250mm/,https://saniware.com/wp-content/uploads/2025/05/WC-2300.jpg,candidate,
29,FAN-STA-KHI-SF1682,SET,Khind 16 Stand Fan,Fans & Ventilation,Khind,SF1682SE,pending,yes,no,no,No exact product image or suffix mapping.,search,priority50_forensic,https://khind.com.my/products/khind-12-and-16-real-guard-lock,,pending,https://khind.com.my/products/khind-12-and-16-real-guard-lock
30,ELE-BUL-E27-15W-RED,PCS,Taicon E27 Stick Bulb Red 15W,Lighting,Taicon,E27,pending,yes,yes,no,Do not map E2-Red discovery to E27 source row without evidence.,search,priority50_forensic,https://www.facebook.com/KIONGSINGHARDWARE/posts/-new-arrival-%F0%9D%90%93%F0%9D%90%9A%F0%9C%9C%9F%9F%9F%9F,,pending,
31,TAP-SAN-SWP-B-3213,PCS,Saniware Premier Tall Basin Cold Tap,Bathroom,Saniware,SWP-SS-304-3213,candidate,yes,yes,yes,Exact SKU/title/direct image; packaging recorded separately.,carry_forward,priority50_forensic,https://saniware.com/product/tall-basin-cold-tap-swp-ss-304-3213/,https://saniware.com/wp-content/uploads/2025/05/3213.png,candidate,
32,JOV-WAT-HEA-SL30IP-WHI-AWB,PCS,Joven (white) Instant Water Heater SL30IP-AWB,Home Appliances,Joven,SL30IP-AWB,pending,yes,no,no,No defensible exact code-to-model mapping.,search,priority50_forensic,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,pending,
33,TOI-TRP-WC2098RL-S,SET,Saniware Washdown One Piece Closet-rimless,Bathroom,Saniware,WC2098RL-S250MM,pending,yes,yes,no,Closest exact family page is not exact source variant.,search,priority50_forensic,https://saniware.com/product/wc-2098-s300/,,pending,
34,SIN-SOR-SRTKS2429-BL,PCS,Sorento S/steel 304 Kitchen Sink-black,Kitchen & Sinks,Sorento,SRTKS2429-BL,candidate,yes,yes,yes,Exact model/finish/dimensions printed adjacent to unique black item image; siblings eliminated.,carry_forward,priority50_forensic,https://sorento.com.my/,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=94,candidate,https://sorento.com.my/result/floor-standing-water-closet__or__nanomagma__or__others__or__seat-cover__or__semi-recessed-basin__or__squatting-pan__or__toilet-safety-handrail__or__under-mount__or__water-closet-accessories
35,TAP-SAN-SWP-B-2934,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2934,Bathroom,Saniware,SWP-B-2934,pending,yes,no,yes,Exact model/image but material finish field unresolved; forensic rule requires pending.,search,priority50_forensic,https://saniware.com/product/basin-pillar-tap-mixer-swp-b-2934/,https://saniware.com/wp-content/uploads/2026/01/SWP-B-2934.jpg,pending,
36,TAP-SAN-SWP-B-2931,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2931,Bathroom,Saniware,SWP-B-2931,candidate,yes,yes,yes,Exact model page/title/image and matt-black description; sibling chrome/gold pages excluded.,carry_forward,priority50_forensic,https://saniware.com/product/basin-pillar-tap-mixer-swp-b-2931/,https://saniware.com/wp-content/uploads/2025/05/SWP-B-2931.png,candidate,https://saniware.com/product-category/faucet/mixer-series/
37,TAP-SAN-SWP-B-2930,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2930,Bathroom,Saniware,SWP-B-2930,candidate,yes,yes,yes,Exact model page/title/image; exact chrome/metallic appearance and pack text.,carry_forward,priority50_forensic,https://saniware.com/product/basin-pillar-tap-mixer-swp-b-2930/,https://saniware.com/wp-content/uploads/2025/05/SWP-B-2930.png,candidate,https://saniware.com/product-category/faucet/mixer-series/
38,IND-RIC-COO-RC7878,SET,5.6L Rice Cooker (cool Grey),Home Appliances,Khind,KHIND-RC565,candidate,yes,yes,yes,Exact page/spec/image and color; UOM separated as internal convention.,carry_forward,priority50_forensic,https://khind.com.my/products/5-6l-commercial-rice-cooker-rc565,https://khind.com.my/cdn/shop/files/rc565-wh-cover_190224150612.jpg?v=1751809130&width=1946,candidate,
39,FAN-STA-KHI-SF1663H,SET,Khind 16 Stand Fan (black),Fans & Ventilation,Khind,SF1663H,candidate,yes,yes,yes,"Exact page names model, black, 16-inch and 50W; image embedded on exact page.",carry_forward,priority50_forensic,https://khind.com.my/products/16-stand-fan,https://khind.com.my/cdn/shop/files/sf1663h-cover_010721155036.jpg?v=1751809588&width=1946,candidate,https://khind.com.my/products/16-stand-fan
40,TAP-SAN-SWP-B-2924,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2924,Bathroom,Saniware,SWP-B-2924,pending,yes,no,no,Exact official page and image absent.,search,priority50_forensic,,,pending,
41,TAP-SAN-SWP-B-2921,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2921,Bathroom,Saniware,SWP-B-2921,pending,yes,no,no,Do not substitute 2931 image.,search,priority50_forensic,,,pending,https://saniware.com/product-tag/mixer-series/
42,CAB-SAN-SWBC-SS6615,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615,Bathroom,Saniware,SWBC-SS6615,candidate,yes,yes,yes,"Exact page confirms cabinet, ceramic basin, mirror, shelf, tap and waste; UOM SET matches.",carry_forward,priority50_forensic,https://saniware.com/product/swbc-ss6615/,https://saniware.com/wp-content/uploads/2025/04/SWBC-SS6615.jpeg,candidate,
43,GAS-STO-RUB-TAE10-M523,UNIT,Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX,Kitchen & Sinks,Rubine,RGH-LOTOFLEXI2B-BLFX,candidate,yes,yes,yes,"Exact current product page, model, 2-burner/flexi features and direct asset.",carry_forward,priority50_forensic,https://www.rubine.com.my/product/RGH-LOTOFLEXI2B-BLFX,https://www.rubine.com.my/files/product_img/IM01801.jpg,candidate,https://www.rubine.com.my/manual-download.php?parent_id=all
44,TAP-SAN-SWP-SS-304-3970-MB,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall (matt Blk),Kitchen & Sinks,Saniware,SWP-SS-304-3970-MB,pending,yes,no,no,Exact model/finish proof absent.,search,priority50_forensic,,,pending,
45,TOI-TRP-WC-8826-S,SET,Sorento Washdown Flushing Tech,Bathroom,Sorento,TECH.SRTWC8826-S-RL,pending,yes,yes,yes,"Product/image exact, but source-code mapping is unresolved under strict gate.",search,priority50_forensic,https://sorentomasterclub.com.my/my/index.php/products-menu/sorento-mobile/bathroom-mobile/watercloset-mobile/closedcoupled-mobile/srtwc8826-detail,https://sorentomasterclub.com.my/my/images/virtuemart/product/SRTWC8826-(product).jpg,pending,
46,CAB-SAN-SWBC-SS6411,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,Bathroom,Saniware,SWBC-SS6411,candidate,yes,yes,yes,"Exact page confirms cabinet, ceramic basin, mirror, shelf, tap and waste; SET matches.",carry_forward,priority50_forensic,https://saniware.com/product/swbc-ss6411/,https://saniware.com/wp-content/uploads/2025/04/SWBC-SS6411-1.jpeg,candidate,
47,SHO-HAN-SWP-HS-502,SET,Saniware Premier Hand Shower With Flexible Hose SWP-HS-502,Bathroom,Saniware,SWP-HS-502,pending,yes,no,no,Public evidence ceiling reached for exact 502.,search,priority50_forensic,,,pending,
48,FAN-CEI-KHI-WHI-CF618,SET,Khind - 60 Ceiling Fan,Fans & Ventilation,Khind,CF618,pending,yes,no,no,Manual collection existence alone cannot support exact image.,search,priority50_forensic,https://khind.com.my/collections/user-manuals?page=28,,pending,https://khind.com.my/collections/user-manuals?page=28
49,OVEN-RUB-TAE13-M265,UNIT,Rubine Built-in Oven RBO-IA6X-70SS,Home Appliances,Rubine,RBO-IA6X-70SS,pending,yes,no,no,Exact model string is source-detected but no exact product image/page evidence.,search,priority50_forensic,https://www.rubine.com.my/product/RBO-IA6X-70SS,,pending,https://www.rubine.com.my/offers/kitchen-appliances-2018-october.pdf
50,TAP-SAN-SWP-SS-304-3970,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall,Kitchen & Sinks,Saniware,SWP-SS-304-3970,pending,yes,no,no,Exact model is mentioned in discovery material but not established as a final authoritative image source.,search,priority50_forensic,,,pending,
51,TOI-TRP-WC-SRTWC8354-SH-UF(250MM),PCS,Sorento Twister Flush Tech,Bathroom,Sorento,SRTWC8354-SH-UF,pending,yes,no,yes,Source SRTWC8354-SH-UF(250MM) vs catalogue SRTWC8354-SH with PP seat cover; UF suffix unresolved.,search,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,PENDING,
52,SHO-SOR-SRTWT2634-RG,PCS,Sorento Exposed Shower Set (matt Blk+rose Gold),Bathroom,Sorento,SRTWT2634-RG,candidate,yes,yes,yes,"Official catalogue p.63 names SRTWT2634-RG as a 3-Ways Exposed Shower Set c/w Spout, ABS rain shower head 188x288mm, 3-functions self-clean silicone-nozzle ABS hand shower, solid-brass body, Rose Gold + Matt Black.",carry_forward,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=63,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=63,VERIFIED_CANDIDATE,https://sorento.com.my/bathroom/shower-bidet/exposed-shower-set/srtwt2634-rg-detail
53,STA-GRI-SG6100,UNIT,Stanley Grinder 620W,Power Tools,Stanley,SG6100,pending,yes,yes,no,SG6100 vs SG6100-XD; exact image and package not preserved.,search,products_51_100_forensic,https://www.lkkhardware.com/showproducts/productid/5449423/620w-stanley-angle-grinder-sg6100xd/,,PENDING,
54,STA-DRI-SCH10D2K,UNIT,Stanley 12V Tower Up Hammer Drill/driver 2.0AH,Power Tools,Stanley,SCH10D2K,pending,yes,no,yes,SCH10D2K vs SCH10D2K-B1 package suffix.,search,products_51_100_forensic,https://theleedenstore.com.my/product/stanley-sch10d2k-b1-12v-brushed-cordless-hammer-drill-with-2-0ah-battery-1-5a-charger/,https://theleedenstore.com.my/wp-content/uploads/2024/02/STENLEY-CORDLESS-SERIES_STANLEY-SCH10D2K-B1-12V-BRUSHED-CORDLESS-HAMMER-DRILL-WITH-2.0AH-BATTERY-1.5A-CHARGER.jpg,PENDING,
55,TOI-TRP-WC-2110A-S,SET,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,Bathroom,Saniware,WC-2110A-S250MM,pending,yes,yes,no,S200 vs S250MM trap size.,search,products_51_100_forensic,https://saniware.com/product/wc-2110a-s200/,,PENDING,
56,TOI-TRP-WC-2122A-S,SET,Saniware Washdown Closet WC-2122A-S250MM,Bathroom,Saniware,WC-2122A-S250MM,pending,yes,yes,no,S300 vs S250MM trap size.,search,products_51_100_forensic,https://saniware.com/product/wc-2122a-s300/,,PENDING,
57,TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,Sorento One Piece Washdown Flush Tech,Bathroom,Sorento,SRTWC286-SH-S,candidate,yes,yes,yes,"Official catalogue p.7 names SRTWC286-SH, Twister Flushing Technology, L680xW365xH735mm, S-trap 150/200/250mm and P-trap 180mm; source specifies 250mm.",carry_forward,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,VERIFIED_CANDIDATE,
58,TOI-TRP-WC-SRTWC8504-S,PCS,Sorento Washdown W Rimless Flush Tech,Bathroom,Sorento,SRTWC8504-S,pending,yes,no,yes,Source -S vs official catalogue -RL; exact suffix mapping unresolved.,search,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=9,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=9,PENDING,
59,STA-GRI-SCG400-SOLO,UNIT,Stanley 20V Grinder,Power Tools,Stanley,SCG400,pending,yes,yes,no,SCG400 vs SCG400-SOLO exact package.,search,products_51_100_forensic,NOT_PRESERVED,,PENDING,
60,SHO-SOR-SRTWT2634,PCS,Sorento Exposed Shower Set 3-WAYS SRTWT2634,Bathroom,Sorento,3-WAYS,candidate,yes,yes,yes,"Official catalogue p.62 names SRTWT2634 as a Chrome 3-Ways Exposed Shower Set c/w Spout, ABS rain shower head 188x288mm, 3-functions self-clean silicone-nozzle ABS hand shower and solid-brass body.",carry_forward,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,VERIFIED_CANDIDATE,https://www.sorento.com.my/index.php/bathroom/shower-bidet/exposed-shower-set/srtwt2634-detail
61,STA-ROT-HAM-SHR243KA,UNIT,Stanley Rotary Hammer 24MM,Power Tools,Stanley,SHR243KA,pending,yes,no,no,Exact package/kit suffix and image unresolved.,search,products_51_100_forensic,NOT_PRESERVED,,PENDING,
62,SHO-SOR-SRTSH22614-BL,PCS,Sorento 229MM ABS Rain Shower Head (matt Blk),Bathroom,Sorento,SRTSH22614-BL,candidate,yes,yes,yes,"Official catalogue p.65 names SRTSH22614-BL Rain Shower Head, D 200x200mm / 8x8in, Matt Black.",carry_forward,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=65,VERIFIED_CANDIDATE,
63,SIN-SOR-SRTKS6091,PCS,Sorento Undermount Kitchen Sink,Kitchen & Sinks,Sorento,SRTKS6091,pending,yes,yes,no,SRTKS6091 vs variant record SRTKS6091-02; exact dimensions/finish/image missing.,search,products_51_100_forensic,https://sorento.com.my/index.php?virtuemart_category_id%5B0%5D=21&virtuemart_category_id%5B1%5D=24&virtuemart_category_id%5B2%5D=135&virtuemart_category_id%5B3%5D=39&virtuemart_category_id%5B4%5D=84&virtuemart_category_id%5B5%5D=35&virtuemart_category_id%5B6%5D=59&virtuemart_category_id%5B7%5D=55&virtuemart_category_id%5B8%5D=52&virtuemart_category_id%5B9%5D=48&virtuemart_category_id%5B10%5D=46&virtuemart_category_id%5B11%5D=64&custom_f_12%5B0%5D=4368726f6d65&option=com_customfilters,,PENDING,https://sorento.com.my/result/filter-tap__or__pillar-mounted__or__under-mount__or__rain-shower-head
64,FAN-CEI-LED-RCF-MOZIA56-5BL-BT,PCS,Rubine Blk Timber LED Ceiling Fan,Fans & Ventilation,Rubine,RCF-MOZIA56-5BL-BT,candidate,yes,yes,yes,"Official page exactly identifies RCF-MOZIA56-5BL, 22W tri-colour LED, 8F+8R RF remote, turbo speed, and Black Timber/Matte Black options.",carry_forward,products_51_100_forensic,https://www.rubine.com.my/product/RCF-MOZIA56-5BL,https://www.rubine.com.my/files/product_img/IM00032.png,VERIFIED_CANDIDATE,
65,TOI-TRP-WC-SRTWC8366-S(250MM),PCS,Sorento One Piece Washdown W Rimless Flush Tech,Bathroom,Sorento,SRTWC8366-S,pending,yes,no,yes,Source -S vs official -RL-UF; exact seat-cover/finish mapping unresolved.,search,products_51_100_forensic,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=8,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=8,PENDING,
