source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
6868,GAR-SPR-LAN-CR8446B,PCS,pending,,,0,0,0,,,,1,,,Real model candidate CR8446B (bend spraying lance); websearch API returned HTTP 429 for nearly the whole session; further tier-1 queries blocked this pass
6992,"TOO-BAR-WRE-STR-30""",PCS,reject,,,0,0,0,,,,1,,,"30in straight wrecking bar, 'GD' not a resolvable OEM brand; unbranded commodity"
6872,PYE-TOI-MOS-1000ML,BOT,candidate,https://www.pyeproducts.com/product/detail/27/PYE-KLEEN,https://pye.sensephone.net/upload/product/27/PYE_KLEEN_Group.png,0,0,787511,yes,yes,medium,1,q:PYE kleen mosaic toilet stains remover 1000ml,p:https://yktoh.com/product-category/diy-products/pye-cleaners/pye-stain-remover-for-mosaic-and-toilet/(200) | p:https://yktoh.com/products/pye-kleen/(200) | p:https://www.pyeproducts.com/product/detail/27/PYE-KLEEN(200),"OEM official PDP: PYE PRODUCTS (M) SDN BHD (Petaling Jaya/Klang, Malaysia); page text 'PYE KLEEN - Stain Remover for Mosaic & Toilet', Product Code CLKL, Packaging '500 ml, 1 litre, 20 litre' covers 1000ML; byte check 200 image/png 787511; image is OEM pack-size group shot (500ml/1L/20L of same product), flagged GROUP-SHOT"
6933,TOO-LEV-STA-993042291,PCS,pending,,,0,0,0,,,,1,,,Stanley torpedo level 8in x 3 vials magnetic; 993042291 looks like internal/EAN code needing T2 decode to STHT/42-series model; websearch API returned HTTP 429 for nearly the whole session; further tier-1 queries blocked this pass
7387,CAR-CLE-WHEEL,BTL,pending,,,0,0,0,,,,1,q:Armor All wheel and tire cleaner 300ML site:armorall.my OR site:armorall.com [429] | q:armorall.my wheel tyre cleaner [429],p:https://armorall.com/my/exterior/tyres-and-wheels/(200) | p:https://armorall.com/my/product/wheel-tire-cleaner/(200) | p:https://armorall.com/my/wp-json/wp/v2/product/10930?_embed(200) | p:https://www.armorall.my/(200) | p:https://www.armorall.my/wheel-tire-cleaner(404) | p:https://www.armorall.my/tyres-wheels(404) | p:https://www.armorall.my/wheel-and-tyre(404) | p:https://www.armorall.my/tyre-wheels(404) | p:https://www.armorall.my/sitemap.xml(404) | p:https://www.armorall.my/robots.txt(200),Official PDP OPENED and confirmed (title 'Wheel & Tire Cleaner - Armor All Malaysia EN') but product hero is JS/imgix-loaded: absent from static HTML AND wp-json payload (no featured_media); armorall.my svelte route probes all 404; next pass pull image via rendered DOM/US-site asset; do NOT reuse protectant image
7472,PAI-GAL-6G-9600,PCS,reject,,,0,0,0,,,,1,,,"Generic 6-gallon paint pail '9600', no brand; unbranded commodity"
6058,X-CIMA-DL-L/SC38/RND/18W/DL,SET,pending,,,0,0,0,,,,1,,p:https://cimalighting.com.my/?s=SC38(200),Item code implies CIMA SC38 round 18W LED panel/downlight while display_name says brand 'Senco'; cimalighting.com.my search returns Next.js client-rendered shell with no SSR results (JS wall); need direct product URL or catalogue PDF next pass
7499,SHH-REEL-LINE-SS800,PCS,pending,,,0,0,0,,,,1,,,'Santec Sepit 800 prawn reel w/line' - brand Santec + model SS800/Sepit 800; websearch API returned HTTP 429 for nearly the whole session; further tier-1 queries blocked this pass
7057,X-TOO-DRI-ADA-13MM,PCS,pending,,,0,0,0,,,,1,,,Adamark 13mm drill chuck with adapter - brand Adamark present in display name; websearch API returned HTTP 429 for nearly the whole session; further tier-1 queries blocked this pass
7138,X-CAB-NET-WOR-1.0M,PCS,candidate,https://www.dintek.com.tw/index.php/powerpro-category-5e/powerpro-patch-cords/powerpro-gray-cat-5e-u-utp-patch-cord-pvc,https://www.dintek.com.tw/media/com_eshop/options/resized/1mtr%20Patch%20Cord-GY-max-1000x1000.jpg,0,0,26144,yes,yes,high,1,q:Dintek cat5e patch cord 1 meter grey,p:https://www.dintek.com.tw/index.php/powerpro-category-5e/powerpro-patch-cords/powerpro-gray-cat-5e-u-utp-patch-cord-pvc(200),DINTEK Electronic official global OEM PDP 'PowerPRO Gray Cat.5e U/UTP Patch Cord - PVC' with 1mtr length option; option image is specifically '1mtr Patch Cord-GY'; byte check 200 image/jpeg 26144; page datasheet script references sku 1201-03340 (=gray 1m); note store display says 'Cat 5' vs OEM Cat.5e naming
7538,CAR-HIT-HP-CB999067,PCS,pending,,,0,0,0,,,,1,,,Carbon brush CB999067 - HIT prefix suggests Hitachi/Koki spare part no. 999-067; websearch API returned HTTP 429 for nearly the whole session; further tier-1 queries blocked this pass
