priority_tier,queue,source_position,item_code,uom,display_name,category,manus_decision,official_product_page,official_image_url,why_failed,hint_page,hint_image,gemini_note
A,p300_pending,26,JOV-WAT-HEA-SB11IP-WHI,PCS,Joven (white) Instant Water Heater SB11IP,Home Appliances,pending,https://www.joven-electric.com/my/sb11ip-instant-water-heater-5110201.html,,"Queries ran: exact SB11IP at official Joven Malaysia and SB11 series page. The model page confirms SB11iP 3.6kW and multiple colours, but the row omits the exact colour/electrical variant needed to select the correct image.",https://www.joven-electric.com/my/products/instant-water-heater/sb11-series.html,,
A,p300_pending,30,ELE-BUL-E27-15W-RED,PCS,Taicon E27 Stick Bulb Red 15W,Lighting,pending,,,Queries ran: Taicon E27 15W red official Malaysia and exact colour-bulb searches. No exact official Taicon E27 15W red page/image was preserved; family discovery was not used as a substitute.,https://www.facebook.com/KIONGSINGHARDWARE/posts/-new-arrival-%F0%9D%90%93%F0%9D%90%9A%F0%9C%9C%9F%9F%9F%9F,,
A,p300_pending,32,JOV-WAT-HEA-SL30IP-WHI-AWB,PCS,Joven (white) Instant Water Heater SL30IP-AWB,Home Appliances,pending,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,"Queries ran: exact SL30IP-AWB, SL30iP(WB), and official Joven SL30 series searches. Official page confirms a WB bracket variant but not the source row’s AWB code; no exact code/image mapping was established.",https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,
A,p300_pending,33,TOI-TRP-WC2098RL-S,SET,Saniware Washdown One Piece Closet-rimless,Bathroom,pending,https://saniware.com/product/wc-2098-s300/,https://saniware.com/wp-content/uploads/2021/03/WC-2098-S300-600x600.jpg,"Queries ran: exact WC2098RL-S250MM and Saniware WC-2098 official pages. The official page/image is for sibling WC-2098-S300 with S-trap/P-trap options, not the exact RL-S250MM source code; sibling image was not reused.",https://saniware.com/product/wc-2098-s300/,,
A,p300_pending,35,TAP-SAN-SWP-B-2934,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2934,Bathroom,pending,https://saniware.com/product/basin-pillar-tap-mixer-swp-b-2934/,https://saniware.com/wp-content/uploads/2026/01/SWP-B-2934.jpg,"Queries ran: exact SWP-B-2934 and official Saniware page/image probe. Exact SKU and official image are live, but the page does not state the row’s Gold finish; the image is not used as proof of an unstated finish.",https://saniware.com/product/basin-pillar-tap-mixer-swp-b-2934/,https://saniware.com/wp-content/uploads/2026/01/SWP-B-2934.jpg,
A,p300_pending,40,TAP-SAN-SWP-B-2924,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2924,Bathroom,pending,,,Queries ran: exact SWP-B-2924 official Saniware page and product-tag searches. No exact official page/image was preserved; no sibling SWP-B-2934 image reused.,,,
A,p300_pending,41,TAP-SAN-SWP-B-2921,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2921,Bathroom,pending,,,Queries ran: exact SWP-B-2921 official Saniware page and mixer-series searches. No exact official page/image was preserved; the SWP-B-2931 black sibling was explicitly not substituted.,,,
A,p300_pending,44,TAP-SAN-SWP-SS-304-3970-MB,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall (matt Blk),Kitchen & Sinks,pending,,,Queries ran: exact SWP-SS-304-3970-MB and official Saniware product searches. No exact official page/image was preserved.,,,
A,p300_pending,45,TOI-TRP-WC-8826-S,SET,Sorento Washdown Flushing Tech,Bathroom,pending,https://sorentomasterclub.com.my/my/index.php/products-menu/sorento-mobile/bathroom-mobile/watercloset-mobile/closedcoupled-mobile/srtwc8826-detail,https://sorentomasterclub.com.my/my/images/virtuemart/product/SRTWC8826-(product).jpg,"Queries ran: exact TECH.SRTWC8826-S-RL at Sorento official/regional pages and catalogue. Official page/image identify SRTWC8826, but the source row’s TECH prefix and -S-RL suffix are not explicitly mapped on the image/page; candidate gate fails suffix certainty.",https://sorentomasterclub.com.my/my/index.php/products-menu/sorento-mobile/bathroom-mobile/watercloset-mobile/closedcoupled-mobile/srtwc8826-detail,https://sorentomasterclub.com.my/my/images/virtuemart/product/SRTWC8826-(product).jpg,
A,p300_pending,47,SHO-HAN-SWP-HS-502,SET,Saniware Premier Hand Shower With Flexible Hose SWP-HS-502,Bathroom,pending,,,"Queries ran: exact SWP-HS-502 official Saniware page, product-tag and catalogue searches. No exact official page/image was preserved.",,,
A,p300_pending,48,FAN-CEI-KHI-WHI-CF618,SET,Khind - 60 Ceiling Fan,Fans & Ventilation,pending,https://khind.com.my/collections/user-manuals?page=28,,"Queries ran: exact CF618 Khind official product and manual searches. The current official page exposes only a manual collection lead, not a model-specific product image; no family ceiling-fan image reused.",https://khind.com.my/collections/user-manuals?page=28,,
A,p300_pending,49,OVEN-RUB-TAE13-M265,UNIT,Rubine Built-in Oven RBO-IA6X-70SS,Home Appliances,pending,https://www.rubine.com.my/product/RBO-IA6X-70SS,,Queries ran: exact RBO-IA6X-70SS at official Rubine Malaysia and manual/catalogue pages. The URL responds with a generic shell and no model-specific product text/image in current HTML; no IA8X sibling image reused.,https://www.rubine.com.my/product/RBO-IA6X-70SS,,
A,p300_pending,50,TAP-SAN-SWP-SS-304-3970,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall,Kitchen & Sinks,pending,,,Queries ran: exact SWP-SS-304-3970 and official Saniware product searches. No exact official page/image was preserved.,,,
A,p300_pending,51,TOI-TRP-WC-SRTWC8354-SH-UF(250MM),PCS,Sorento Twister Flush Tech,Bathroom,pending,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,
A,p300_pending,53,STA-GRI-SG6100,UNIT,Stanley Grinder 620W,Power Tools,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",https://www.lkkhardware.com/showproducts/productid/5449423/620w-stanley-angle-grinder-sg6100xd/,,
A,p300_pending,54,STA-DRI-SCH10D2K,UNIT,Stanley 12V Tower Up Hammer Drill/driver 2.0AH,Power Tools,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",https://theleedenstore.com.my/product/stanley-sch10d2k-b1-12v-brushed-cordless-hammer-drill-with-2-0ah-battery-1-5a-charger/,https://theleedenstore.com.my/wp-content/uploads/2024/02/STENLEY-CORDLESS-SERIES_STANLEY-SCH10D2K-B1-12V-BRUSHED-CORDLESS-HAMMER-DRILL-WITH-2.0AH-BATTERY-1.5A-CHARGER.jpg,
A,p300_pending,55,TOI-TRP-WC-2110A-S,SET,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,Bathroom,pending,https://saniware.com/product/wc-2110a-s200/,,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://saniware.com/product/wc-2110a-s200/,,
A,p300_pending,56,TOI-TRP-WC-2122A-S,SET,Saniware Washdown Closet WC-2122A-S250MM,Bathroom,pending,https://saniware.com/product/wc-2122a-s300/,,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://saniware.com/product/wc-2122a-s300/,,
A,p300_pending,58,TOI-TRP-WC-SRTWC8504-S,PCS,Sorento Washdown W Rimless Flush Tech,Bathroom,pending,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=9,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=9,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=9,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=9,
A,p300_pending,59,STA-GRI-SCG400-SOLO,UNIT,Stanley 20V Grinder,Power Tools,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",NOT_PRESERVED,,
A,p300_pending,61,STA-ROT-HAM-SHR243KA,UNIT,Stanley Rotary Hammer 24MM,Power Tools,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",NOT_PRESERVED,,
A,p300_pending,63,SIN-SOR-SRTKS6091,PCS,Sorento Undermount Kitchen Sink,Kitchen & Sinks,pending,https://sorento.com.my/index.php?virtuemart_category_id%5B0%5D=21&virtuemart_category_id%5B1%5D=24&virtuemart_category_id%5B2%5D=135&virtuemart_category_id%5B3%5D=39&virtuemart_category_id%5B4%5D=84&virtuemart_category_id%5B5%5D=35&virtuemart_category_id%5B6%5D=59&virtuemart_category_id%5B7%5D=55&virtuemart_category_id%5B8%5D=52&virtuemart_category_id%5B9%5D=48&virtuemart_category_id%5B10%5D=46&virtuemart_category_id%5B11%5D=64&custom_f_12%5B0%5D=4368726f6d65&option=com_customfilters,,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://sorento.com.my/index.php?virtuemart_category_id%5B0%5D=21&virtuemart_category_id%5B1%5D=24&virtuemart_category_id%5B2%5D=135&virtuemart_category_id%5B3%5D=39&virtuemart_category_id%5B4%5D=84&virtuemart_category_id%5B5%5D=35&virtuemart_category_id%5B6%5D=59&virtuemart_category_id%5B7%5D=55&virtuemart_category_id%5B8%5D=52&virtuemart_category_id%5B9%5D=48&virtuemart_category_id%5B10%5D=46&virtuemart_category_id%5B11%5D=64&custom_f_12%5B0%5D=4368726f6d65&option=com_customfilters,,
A,p300_pending,65,TOI-TRP-WC-SRTWC8366-S(250MM),PCS,Sorento One Piece Washdown W Rimless Flush Tech,Bathroom,pending,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=8,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=8,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=8,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=8,
A,p300_pending,66,TOI-TRP-WC-SRTWC8518-SH-S,PCS,Sorento One Piece Twister Flushing Tech,Bathroom,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",https://www.facebook.com/SorentoMalaysia/posts/whether-you-choose-the-powerful-gravity-driven-washdown-or-the-silent-360-degree/1342912134544835/,,
A,p300_pending,68,ELE-BUL-B22-3W-RED,PCS,Taicon B22 3W LED Color Bulb - Red,Lighting,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",https://www.facebook.com/100063586223862/posts/taicon-3w-b22e27-led-colour-bulb3w-b22-led-colour-bulb%EF%B8%8Fblue%EF%B8%8Fred%EF%B8%8Fyellow%EF%B8%8Fwhite%EF%B8%8Fpin/1546526540810205/,,
A,p300_pending,69,ELE-BUL-E27-10W-RED,PCS,Taicon E27 Stick Bulb Red 10W,Lighting,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",https://shopee.com.my/TAICON-LED-STICK-BULB-SERIES-i.94779936.2695466463,,
A,p300_pending,70,MIR-SWBC-SS6414,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6414,Bathroom,pending,https://saniware.com/?s=SWBC-SS6414,,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://saniware.com/?s=SWBC-SS6414,,
A,p300_pending,71,OVEN-RUB-TAE13-M507,UNIT,Rubine M/wave Oven RMO-934SS-GD34X,Home Appliances,pending,https://www.rubine.com.my/product/RMO-934SS-GD34,https://www.rubine.com.my/files/product_img/IM01814.jpg,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://www.rubine.com.my/product/RMO-934SS-GD34,https://www.rubine.com.my/files/product_img/IM01814.jpg,
A,p300_pending,74,SHO-SAN-SWP-BSP-5505B,PCS,Saniware Premier 3WAY Bath Shower Set For Water Heater (black),Bathroom,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",https://www.yesbath.com.my/showproducts/productid/6045655/sus304-3-way-bath-shower-set-for-water-heater-black-swpbsp5505b/,https://cdn1.npcdn.net/images/cf6eef12013f376c4a5f3b39abeebe92_1757471914.webp?md5id=5de402365ca7341b8b1e38b3013768e8&new_width=1000&new_height=1000&size=max&w=-62170008925&from=jpeg&type=9,
A,p300_pending,75,TAP-SAN-SWP-SS-304-3950-MB,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap (matt Blk),Kitchen & Sinks,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",https://www.gsthardware.com.my/product/saniware-flexible-hose-kitchen-pillar-tapgun-metal-swp-ss-304-3950-gm/,,
A,p300_pending,77,TOI-TRP-WC-SRTWC8840-S,PCS,Sorento Close Coupled Wash,Bathroom,pending,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=10,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=10,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=10,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=10,
A,p300_pending,78,BATH-SRTBF31416,PCS,Sorento 304 S/s 5 IN 1 Bathroom Furn,Bathroom,pending,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=35,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=35,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=35,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=35,
A,p300_pending,79,ELE-D/L-MEG-YTT100ZI-30W,PCS,Megaman E27 LED Bulb,Lighting,pending,https://megaman.com.my/product/t-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/11-1-1.jpg,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://megaman.com.my/product/t-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/11-1-1.jpg,
A,p300_pending,81,SHO-SAN-SWP-BSP-5504B,PCS,Saniware Premier 2WAY Bath Shower Set For Water Heater (black),Bathroom,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",NOT_PRESERVED,,
A,p300_pending,82,SIN-SOR-SRTKS2431,PCS,Sorento Nanograin Texture Kitchen Sink,Kitchen & Sinks,pending,https://sorento.com.my/result/nanograin-kitchen-sink__or__pillar-mounted__or__under-mount__or__bathtub-free-standing-tap,,"Fix attempted: queries ran for official Sorento SRTKS2431 and Nanograin sources. Official collection/blog evidence confirms SRTKS2431 as Nanograin, but the searched catalogue page 94 did not contain SRTKS2431 and no exact official SRTKS2431 image/PDF crop was preserved. The prior dealer image was not reused.",https://buildershardware.com.my/product/sorento-kitchen-sink-srtks2431/,https://buildershardware.com.my/wp-content/uploads/2024/08/SRTKS2431-19.jpg,
A,p300_pending,83,ELE-CAB-WIR-MKK-2.5MM-RED,ROLL,MKK Cable 2.5MM (7/0.49MM) Red,Electrical,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",NOT_PRESERVED,,
A,p300_pending,84,FAN-CEI-DEKA-CGNL54MB12,UNIT,Deka Ceiling Fan Geno Matt Black,Fans & Ventilation,pending,https://deka.my/geno-54/,,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://deka.my/geno-54/,https://deka.my/geno-54/,
A,p300_pending,87,ELE-CAB-WIR-MKK-2.5MM-BLACK,ROLL,MKK Cable 2.5MM (7/0.49MM) Black,Electrical,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",NOT_PRESERVED,,
A,p300_pending,88,MIR-SWBC-SS6811,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6811,Bathroom,pending,https://saniware.com/?s=SWBC-SS6811,,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://saniware.com/?s=SWBC-SS6811,,
A,p300_pending,89,SPR-BID-SWP-SS-304-6875-BA,PCS,Saniware Premier Two Way Tap With Bidet SET&1.2M Flex. Hose,Bathroom,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",https://www.htrendskb.com.my/showproducts/productid/6246533/cid/387813/saniware-two-way-tap-with-bidet-black-swpss3046875ba/,,
A,p300_pending,90,TAP-SAN-SWP-SS-304-3950,PCS,Saniware Premier Flexible Hose Kitchen Pillar Sink Tap,Kitchen & Sinks,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",https://www.gsthardware.com.my/product/saniware-flexible-hose-kitchen-pillar-tapgun-metal-swp-ss-304-3950-gm/,,
A,p300_pending,91,TAP-SAN-SWP-B-3213-G,PCS,Saniware Premier Tall Basin Cold Tap (gold),Bathroom,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",https://www.hengshenghardware.com.my/showproducts/productid/6519703/cid/653991/saniware-tall-basin-cold-tap-swpss3043213g-saniware-products-in-selangor/,https://cdn1.npcdn.net/images/ae00ee05e540a1bfa5317d407c20f63e_1778769104.webp?md5id=aa669fe24aabb489080c05a96e7f594b&new_width=1000&new_height=1000&size=max&w=1784295513&from=png&type=9,
A,p300_pending,92,BATH-SRTBF31514,PCS,Sorento 5IN1 Bath Furn,Bathroom,pending,,,"Queries ran: Malaysia-first exact-model search using the supplied hint and official/manufacturer-site queries. The supplied hint was dealer, marketplace, missing, or non-preservable, so it was not used as an official image source.",https://www.zhinheng.com.my/showproducts/productid/6040406/cid/205566/sorento-5-in-1-bathroom-furniture-srtbf31514srtmcb6083bl/,,
A,p300_pending,93,FAN-CEI-DEKA-CF66DC66MB12,UNIT,Deka Ceiling Fan F66 DC Matt Black,Fans & Ventilation,pending,https://deka.my/f66-dc/,,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://deka.my/f66-dc/,https://deka.my/f66-dc/,
A,p300_pending,94,JOV-WAT-FIL-JP200,PCS,Joven (red) Water Purifier,Home Appliances,pending,https://www.joven-electric.com/my/jp200-water-purifier.html,,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://www.joven-electric.com/my/jp200-water-purifier.html,https://www.joven-electric.com/my/jp200-water-purifier.html,
A,p300_pending,95,KHI-HDR-HD511-GRE,SET,Hair Dryer 1400W (matt Grey),Home Appliances,pending,https://khind.com.my/products/khind-hair-dryer-hd1400,https://khind.com.my/cdn/shop/files/HD1400_1_HiRes_1a611a78-9046-49f7-96cd-f0af17337545.jpg?v=1751809409,"Queries ran: Malaysia-first exact-model and official-image search starting from the supplied hint page. Exact model/finish/image evidence did not clear the candidate gate; family, sibling, dealer, marketplace, or incomplete-variant evidence was not substituted.",https://khind.com.my/products/khind-hair-dryer-hd1400,https://khind.com.my/cdn/shop/files/HD1400_1_HiRes_1a611a78-9046-49f7-96cd-f0af17337545.jpg?v=1751809409,
