source_position,item_code,uom,official_product_page,official_image_url,researcher_decision,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,reason,human_action
4864,FIT-PVC-TEE-20MMX15MM,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""PVC tee reducer elbow 32mm fitting Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MS628-standard fittings sold as No-Brand; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2962,CLI-HOS-13-19,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""hose clip stainless steel 13-23mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; distributor pages list Brand ""-"" confirming unbranded commodity ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4668,SOC-PVC-BOX-6MM,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""PVC tee reducer elbow 32mm fitting Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MS628-standard fittings sold as No-Brand; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3398,"CLI-HOS-GP-7/8""",PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""hose clip stainless steel 13-23mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; distributor pages list Brand ""-"" confirming unbranded commodity ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3069,"CLI-HOS-GP-1.1/2""",PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""hose clip stainless steel 13-23mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; distributor pages list Brand ""-"" confirming unbranded commodity ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3221,DOR-STO-25X25MM,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""door stopper getah merah transparent Malaysia"" ; tier1:no-oem-found ; t3:Rugaval/Rubber-KU make similar red rubber stoppers but sizes/packaging differ from house item; not a confirmed match ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3171,SHH-SINKER-NO.1,PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""pemberat pancing no 1 loceng Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; marketplace/agro listings only ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3396,CHA-PVC-BEL-G6MM,MTR,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""rantai pvc hijau 6mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; Shopee/TikTok rolls and Man Kian distributor page; no OEM ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2970,IND-FIL-100MM,ROLL,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""stretch film 4 inch 230g Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY film manufacturers exist but none matches this 4in x 230g house roll ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2931,"FAS-SCR-CSK-1 1/4"" X 8G",PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""skru self drilling 8 x 1 inci plasterboard Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY trade-supplier pages (IMITEX/MK Hardware) only, no retail OEM for house-label pack ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
5963,ELE-PVC-TEE-3W,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""PVC tee reducer elbow 32mm fitting Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MS628-standard fittings sold as No-Brand; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4205,"PIC-HAN-GOL-1-1/2""",PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""picture hanger golden dinding Malaysia 1 1/2 inch"" ; tier1:no-oem-found ; t3:""m'sia"" house-label hanger; marketplace kits and STAS rail systems only; no OEM match ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4113,HOS-CON-13-16MM,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""power hose joint 13-16mm Malaysia"" ; tier1:no-oem-found ; t3:Wiraplas H22 seen only via Banli Hardware distributor page; no Wiraplas official site; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2986,CUT-DIS-HIT-GRI-4X6MM,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""grinding wheel 4 inch 100x6x16mm Malaysia"" ; tier1:no-oem-found ; t3:Tailin/PTN/VISTA/Tactix discs sold via distributors only; house wheel unmatched to rights-cleared OEM ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3391,ANT-KILL-BAIT,PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""racun semut bait 35g Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; unbranded gels/powders on marketplaces; pesticide imagery needs owner shot anyway ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4732,WAL-PLU-S/S-CC226-M8X70MM,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""K103 stainless steel wall plug M10 Malaysia"" ; tier1:no-oem-found ; t3:K103-304 code unresolved to OEM; sleeve-anchor resellers only; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4303,CAP-01.5UF-415V-CBB61,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""kapasitor CBB61 450V kipas"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; CN/ID marketplace components, no OEM for this house item ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3449,"FAS-SCR-P/H-3/4"" X 8#",PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""skru self drilling 8 x 1 inci plasterboard Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY trade-supplier pages (IMITEX/MK Hardware) only, no retail OEM for house-label pack ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3141,SHH-SINKER-NO.6,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""pemberat pancing no 1 loceng Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; marketplace/agro listings only ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3658,DOR-ROL-CAT-RDL304,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""double roller catch stainless steel door cabinet"" ; tier1:no-oem-found ; t3:generic CN/US double-roller catches everywhere, all unbranded or foreign retail brands; no OEM for house pack ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2644,BRO-PLA-SB200,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""penyapu plastik 260g Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; marketplaces + CN OEM factories (custom-brand brooms); SB200/SB9226/LD-1803S codes unresolved ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2708,TOO-MAG-MC03A,PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""magnetic catch MC03A cabinet"" ; tier1:no-oem-found ; t3:MC-03A exists as generic Chinese catch (Allways/bestsuppliers); no OEM site; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
5512,FAS-SCR-ZPH-DSMHO516,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""skru self drilling 8 x 1 inci plasterboard Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY trade-supplier pages (IMITEX/MK Hardware) only, no retail OEM for house-label pack ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3955,"PIP-HDPE-32MM-1""",MTR,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""paip UPVC BS5255 HDPE PN12.5 32mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; SIRIM/BBB listing is a different brand; Unitrade supplier page only ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3306,WAS-TAP-PAI,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""polibag 8x12 putih 500g washi tape 24mm"" ; tier1:no-oem-found ; t3:washi tape 24mm exists as Rinrei/Dulux/fk-silicone brands; house roll unmatched; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4246,WAL-PLU-S/S-CC227-M10X80MM,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""K103 stainless steel wall plug M10 Malaysia"" ; tier1:no-oem-found ; t3:K103-304 code unresolved to OEM; sleeve-anchor resellers only; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2730,ELE-BUL-C7-E12-MINI,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""C7 E12 mini candle bulb clear"" ; tier1:no-oem-found ; t3:Philips/Simba US-market C7 E12 bulbs exist; house clear mini candle bulb unmatched locally; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2727,BRU-SPO-B3PCS,PKT,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""3M 213 scouring sponge pad 3pcs"" ; tier1:no-oem-found ; t3:3M official Scotch-Brite catalogue pages exist for pad family but exact ""213 w/ab sponge"" variant not confirmed on 3M MY; rights not cleared via contacts.csv ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
5317,"NAI-CON-GAL-2.1/2""-PCK",PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""paku besi galvani 2 1/2 inci Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; marketplace listings only (Lazada/Shopee/Tokopedia), no OEM page ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
6054,SOC-BOX-28-13A,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""GI socket box 28 13A Malaysia"" ; tier1:no-oem-found ; t3:COT (UAE) GI boxes and CROWN sockets surfaced; neither matches house GI 28x13A box; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3858,BRA-S/S-L-85383,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""stainless steel L bracket 85x85mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; resellers + Chee Kuan mfr of brackets generally; BC185K/85383 codes unresolved to any OEM ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
5009,"PIP-UPVC-5255-1.1/4""",MTR,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""paip UPVC BS5255 HDPE PN12.5 32mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; SIRIM/BBB listing is a different brand; Unitrade supplier page only ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3163,"SANDEX-VEL-PAD-M10-4""",PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""Sandex velcro backing pad M10"" ; tier1:no-oem-found ; t3:""Sandex"" resolves to Sankyo indexers/waterproofing cos, not abrasive-pad OEM; generic pads only; dead end ; t4:no-prior-url-to-archive; t4 pdf probe ('Sandex' catalogue filetype:pdf) returned unrelated Sankyo indexer catalogues ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2659,WAL-PLU-JWP-6MM,PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""K103 stainless steel wall plug M10 Malaysia"" ; tier1:no-oem-found ; t3:K103-304 code unresolved to OEM; sleeve-anchor resellers only; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4360,CAP-02.5UF-415V-CBB61,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""kapasitor CBB61 450V kipas"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; CN/ID marketplace components, no OEM for this house item ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3282,"FAS-SCR-F/H-1 1/2"" X 8#",PKT,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""skru self drilling 8 x 1 inci plasterboard Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY trade-supplier pages (IMITEX/MK Hardware) only, no retail OEM for house-label pack ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3685,"FAS-SCR-TAP-CSK-8#2""",PACK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""skru self drilling 8 x 1 inci plasterboard Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY trade-supplier pages (IMITEX/MK Hardware) only, no retail OEM for house-label pack ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4156,BRA-S/S-L-65383,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""stainless steel L bracket 85x85mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; resellers + Chee Kuan mfr of brackets generally; BC185K/85383 codes unresolved to any OEM ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3226,"FAS-SCR-CSK-1 1/2"" X 8G",PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""skru self drilling 8 x 1 inci plasterboard Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY trade-supplier pages (IMITEX/MK Hardware) only, no retail OEM for house-label pack ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3309,BNW-BOL-SS304-M12-25MM,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""SS304 nut bolt washer threaded rod expansion eye bolt Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY fastener traders (Fuji/Pertama/Yew Siong) sell generic stock; TRAC/OAC codes unresolved ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3814,"FAS-SCR-CSK-1"" X 6G-PCK",PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""skru self drilling 8 x 1 inci plasterboard Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY trade-supplier pages (IMITEX/MK Hardware) only, no retail OEM for house-label pack ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
6667,"NAI-CON-GAL-1""-PCK",PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""paku besi galvani 2 1/2 inci Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; marketplace listings only (Lazada/Shopee/Tokopedia), no OEM page ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3068,BRO-PLA-SB9226,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""penyapu plastik 260g Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; marketplaces + CN OEM factories (custom-brand brooms); SB200/SB9226/LD-1803S codes unresolved ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2774,"DOR-HIN-STE-CLO-5/8""",PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""soft close hinge 5/8 inch cabinet"" ; tier1:no-oem-found ; t3:5/8 overlay soft-close hinges exist as Berta/Grass US-EU brands; house item unmatched to any OEM ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
5095,"FAS-SCR-P/H-1"" X 8#",PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""skru self drilling 8 x 1 inci plasterboard Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY trade-supplier pages (IMITEX/MK Hardware) only, no retail OEM for house-label pack ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3217,WIN-HOO-PIN-8430,PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""""pleak hook"" 8430"" ; tier1:no-oem-found ; t3:query returned junk (privacy tools/towing); product term yields nothing; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4019,WOO-SQU-08',PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""steel keel ceiling 35mm kayu list S4S Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; CN keel manufacturers and local timber sellers; no OEM image rights-cleared ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
