ordinal,source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,human_action,tiers_tried,reason
6953,1993,TOO-NIE-SOC-KEY-L05MM,PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-long-hex-bit-allen-socket/,https://nietz.com.my/wp-content/uploads/2024/06/65_50240104-until-50240114.png,n/a,n/a,no,n/a,unknown,"Email Nietz (info@nietz.com.my) for a per-size product photo of long hex/allen socket SKU 50240105 (5mm), or shoot the item in-store.",2,"q:""50043030"" nietz site search; bing ""50043030"" nietz; site:nietz.com.my socket chrome (bing degraded). p:nietz.com.my home; nietz.com.my/?s=50043030 (no results); nietz.com.my/product-catalogue (PDF download only); mechanic-tools cat p1-p3; ?s=ball+point&post_type=product; ?s=spark+plug&post_type=product; ?s=flap&post_type=product; machinery-accessories cat. Official page NIETZ 1/2"" Drive Long Hex Bit (Allen) Socket exists but its only gallery/og:image is 65_50240104-until-50240114.png - filename contains model RANGE covering sibling SKUs 50240104-50240114 => FAMILY HERO per hard rule. No size-specific shot on page."
6954,1099,TOR-ENE-LED-2AA,PCK,candidate,https://eveready.com/apac/malaysia/product/eveready-brilliam-beam-2aa/,https://eveready.com/apac/malaysia/wp-content/uploads/sites/10/2025/12/EVEREADY-Brilliam-Beam-2AA.png,high,n/a,yes,PCK plausible (retail blister card shown; pack qty not stated on page),unknown,"None - asset usable. Optionally confirm with Eveready Malaysia (eveready.com APAC-MY subsite) that retail unit is sold in blister pack.",2,"q:websearch ""Eveready 2AA Brilliant torchlight Malaysia official"" (HTTP429); later eveready.com.my probes CONN-fail. p:eveready.com/product/eveready-all-purpose-led-flashlight-2aa/ and ...industrial... (redirect to Home); eveready.com/apac/malaysia/ home; /apac/malaysia/?s=brilliant; /apac/malaysia/lighting/handheld-lights/ listing revealed product eveready-brilliam-beam-2aa. Opened product page: title=""EVEREADY Brilliam Beam 2AA - Eveready Malaysia"", og:description ""GPHH11 -- (GPHH211) All Pur..."", kw[Brilliam]=31 kw[2AA]=33. og:image = EVEREADY-Brilliam-Beam-2AA.png (HEAD 200 image/png len=367185). Model-quote:""EVEREADY Brilliam Beam 2AA"" from page title/meta. Ekoway name ""2AA Brilliant"" matches Brilliam Beam 2AA line (AutoCount abbreviation)."
6965,1713,BOS-2608-680-275,PCS,candidate,https://www.bosch-pt.com.my/my/en/products/hammer-drill-bit-sds-plus-1-2608680275,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/767x431/o196527v82_2608680275_bo_diy_u_f_1.png,high,n/a,yes,Official sells Pack of 1 - PCS ok,unknown,"None. Display-name note: official designation is SDS-plus-1 10x200x260 (legacy name said S3).",2,"p:archived official MY page hammer-drill-bit-sds-plus-1-202153-2608680275.html quoted Part number ""2 608 680 275"" spec ""10 x 200 x 260 mm"" Pack of 1. Current live official page /my/en/products/hammer-drill-bit-sds-plus-1-2608680275 opened (200): text contains ""2608680275"" in variant list and embeds ocsmedia asset o196527v82_2608680275_bo_diy_u_f_1.png (exact article in filename). HEAD: LIVE 200 image/png len=18999. Model-quote:""2608680275"" from live page text.",2
6966,1698,NIE-SOC-HAN-DEE-06P-1/2-16MM,PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-6pt/,https://nietz.com.my/wp-content/uploads/2024/06/6_50042008-until-50032032.png,n/a,no,no,n/a,unknown,"Email Nietz for per-size photo of Deep Chrome Socket 6PT 16mm (SKU 50042016) or shoot in-store.",2,"p:mechanic-tools cat p1: NIETZ 1/2"" Drive Chrome Deep Socket (6PT) thumb 6_50042008-until-50032032.png covering 50042xxx range => FAMILY HERO; no per-size asset.",2
6967,1697,NIE-SOC-HAN-DEE-06P-1/2-09MM,PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-6pt/,https://nietz.com.my/wp-content/uploads/2024/06/6_50042008-until-50032032.png,n/a,no,no,n/a,unknown,"Email Nietz for per-size photo of SKU 50042009 (9mm) or shoot in-store.",2,"p:same 50042xxx range-family image as row 6966 => FAMILY HERO.",2
6968,2121,TOO-NIE-ALL-KEY-10MM,PCS,reject,https://nietz.com.my/product/nietz-extra-long-ball-point-hex-wrench-s2-satin/,https://nietz.com.my/wp-content/uploads/2024/07/35_53252015-until-532522220.png,n/a,no,no,n/a,unknown,"Email Nietz for per-size photo of Extra-Long Ball Point Hex Wrench S2 Satin 10mm (SKU 53252100) or shoot in-store.",2,"p:nietz.com.my ?s=ball+point&post_type=product found ""NIETZ Extra Long Ball Point Hex Wrench S2 (Satin)"" matching display_name (Satin finish confirmed in product name); thumbnail/og 35_53252015-until-532522220.png spans 53252015-53252220 incl our 53252100 => FAMILY HERO (range in filename).",2
6969,1760,TOO-COM-GLO-23MM,PCS,pending,,,n/a,n/a,n/a,n/a,unknown,"Request combination-wrench range photos (incl 23mm) from Glotool brand owner/importer; or shoot 23mm wrench in-store. Retailer pages (sonichardware.com.my 2770-glotool-combination-wrench) exist but distributor authorisation unverified - not accepted as final source.",2,"q:websearch ""Glotool Malaysia hardware hammer wrench brand"" - only retailer listings (Sonic Hardware Sarawak Combination Wrench (Glotool); SK Hardware Glotool brand page; BigGo/Shopee aggregators forbidden). No official Glotool MY manufacturer site (glotool.com = unrelated ZA firm). No model code on Ekoway side to pin a specific variant.",2
6970,1731,"TOO-NIE-SOC-HAN-1/2""-24MM",PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt/,https://nietz.com.my/wp-content/uploads/2024/06/7_50043008-until-50043032.png,n/a,no,no,n/a,unknown,"Email Nietz for per-size photo of SKU 50043024 (24mm) or shoot in-store.",2,"p:same 50043008-until-50043032 family image as row 6957 => FAMILY HERO.",2
6971,1730,"TOO-NIE-SOC-HAN-1/2""-23MM",PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt/,https://nietz.com.my/wp-content/uploads/2024/06/7_50043008-until-50043032.png,n/a,no,no,n/a,unknown,"Email Nietz for per-size photo of SKU 50043023 (23mm) or shoot in-store.",2,"p:same 50043xxx range-family image => FAMILY HERO.",2
6972,2153,BOS-2608-900-571,PCS,pending,,,n/a,n/a,n/a,n/a,unknown,"Email Robert Bosch Sdn Bhd (Power Tools Accessories marketing, MY) for official HEX-9 Multi Construction 5x50x100mm press/catalogue image for article 2 608 900 571; fallback crop from official Bosch accessory catalogue PDF.",2|3,"q:websearch attempts rate-limited early. p:CDX bosch-pt.com.my / .com.sg / .co.id / .co.th / .com.vn / bosch-professional.com / bosch-diy.com filters for 2608900571 and spaced form 608900571 ALL EMPTY; live probes bosch-professional.com my/global hex-9 slugs 404; SG/MY sitemap product indexes empty. Article not marketed with public official page in region. Do not substitute a different HEX-9 length photo.",2|3
6973,1717,NIE-PLU-SOC-50046621,PCS,reject,https://nietz.com.my/product/nietz-spark-plug-socket/,https://nietz.com.my/wp-content/uploads/2024/06/3-min.png,n/a,no,no,n/a,unknown,"Email Nietz to confirm which photo corresponds to spark-plug socket 13/16in (SKU 50046621) and obtain per-size photo, or shoot in-store.",2,"p:?s=spark+plug&post_type=product found ""NIETZ Spark Plug Socket""; opened product page HTML: schema sku=""500-46-6XX"" (series), og:image=3-min.png + gallery 4-min.png - generic shared photos serving multiple sibling sizes; exact model 50046621 NEVER appears in page text so cannot be quoted; other spark-plug sockets on site have different SKUs (50036614, 50052316-until-50052321). Series-level family imagery => reject.",2
6974,1318,NIETZ-MOU-FLA-WHE-57121060,PCS,reject,https://nietz.com.my/product/nietz-mounted-flap-wheel-ls309x-al-oxide/,https://nietz.com.my/wp-content/uploads/2024/08/42_57110060-until-57152120.png,n/a,no,no,n/a,unknown,"Email Nietz for per-size photo of Mounted Flap Wheel LS309X 25x20x6 (SKU 57121060) or shoot in-store.",2,"p:machinery-accessories cat had none; ?s=flap&post_type=product found ""NIETZ Mounted Flap Wheel LS309X (Al Oxide)""; opened page: og:image=42_57110060-until-57152120.png RANGE hero spanning whole 571xxxxx size family; grep of saved page confirms 57121060/57142060 appear NOWHERE in page text. FAMILY HERO.",2
6975,1775,"TOO-NIE-SOC-HAN-1/2""-21MM",PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt/,https://nietz.com.my/wp-content/uploads/2024/06/7_50043008-until-50043032.png,n/a,no,no,n/a,unknown,"Email Nietz for per-size photo of SKU 50043021 (21mm) or shoot in-store.",2,"p:same 50043xxx range-family image => FAMILY HERO.",2
6976,1779,BOS-2608-633-528,PCS,reject,https://www.bosch-pt.com.my/my/en/products/jigsaw-blade-t-234-x-2608633528,,n/a,yes,yes,Unknown pack format on live page; archived-era data n/a,unknown,"Email Robert Bosch Sdn Bhd accessories marketing for a dedicated T234X product PNG (article 2 608 633 528); alternatively accept the official page's shared blade photo only if Ekoway policy permits family imagery.",2,"p:live official page /my/en/products/jigsaw-blade-t-234-x-2608633528 opened (200): JSON-LD ""sku"": ""2608633528"" gtin13 ""3165140169509"" - exact-model official page EXISTS. BUT its only product image is o353707v82_2608633523_bo_pro_u_f_2.png (sibling article 2608633523 media object shared across blades); grep confirms NO ocsmedia asset embedding _2608633528_; guessed per-article variants 404. Archived MY/SG old pages for this article carry images.bosch-pt.com.my paths that are defunct AND unarchived (web.archive 2024id_ 404). Wrong-variant/family image only => reject under family-hero rule despite exact-model page.",2
6977,2314,BOS-1619-P20-086,SET,pending,,,n/a,n/a,n/a,n/a,unknown,"Contact Robert Bosch Sdn Bhd service/spare-parts (or Bosch Online Spare Parts Service) for the official carbon-brush-set image for GBM 350 (verify part no: item code reads 1619P20086; Bosch brush part numbers usually 2 619 P20 xxx - confirm correct digits first). Else shoot in-store.",2|3,"q:websearch unavailable early. p:CDX bosch-pt.com.my/.com.sg/.co.id/.co.th/.com.vn/bosch-professional.com/bosch-diy.com filters for 1619P20086, 161920086, 2619P20086, 619P20086 all EMPTY; carbon brushes are spare parts not carried on marketing sites. Nothing conclusive; do not fabricate.",2|3
6978,1320,NIETZ-MOU-FLA-WHE-57142060,PCS,reject,https://nietz.com.my/product/nietz-mounted-flap-wheel-ls309x-al-oxide/,https://nietz.com.my/wp-content/uploads/2024/08/42_57110060-until-57152120.png,n/a,no,no,n/a,unknown,"Email Nietz for per-size photo of Mounted Flap Wheel LS309X 40x25x6 (SKU 57142060) or shoot in-store.",2,"p:same LS309X range-hero image 42_57110060-until-57152120.png as row 6974; SKU absent from page text => FAMILY HERO.",2
6979,1891,DRI-SDS-GT02-15260,PCS,pending,,,n/a,n/a,n/a,n/a,unknown,"Request SDS drill-bit range photos (15x260mm, GT-A02) from the Glotool importer/brand owner, or shoot in-store.",2,"p:glotool.com = unrelated South African company; glotool.com.my nonexistent; q:websearch ""Glotool Malaysia hardware"" shows only retailer/aggregator listings, no SDS drill bits with model GT-A02 anywhere official. No identifiable official product; do not invent.",2
6980,1975,BOS-2608-631-017,PCS,candidate,https://www.bosch-pt.com.my/my/en/products/jigsaw-blade-t-127-d-2608631017,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/full/o466128v82_2608631017_bo_pro_u_f_1.png,high,n/a,yes,Article 2 608 631 017 ships as 5-pc pack (PRO Alu T127D 100 mm) - PCS ok if priced per pack,unknown,"None. Consider display-name alignment to ""T127D PRO Alu"" per current official naming.",2|3,"p:wayback CDX found official bosch-pt.com.sg page jigsaw-blade-t-127-d-202774-2608631017.html; snapshot 20160401055226 fetched: WT.pn_sku ""2 608 631 017"", h1 ""Jigsaw blade T 127 D""; old prodimg paths defunct. LIVE current official MY page /my/en/products/jigsaw-blade-t-127-d-2608631017 opened (200): title ""PRO Alu T127D Jigsaw Blade - Bosch Professional"", JSON-LD ""sku"": ""2608631017"" (exact), srcset references pro-alu-t127d-jigsaw-blade-100-mm-5-pcs-2608631017.png. Direct asset binary/ocsmedia/optimized/full/o466128v82_2608631017_bo_pro_u_f_1.png HEAD-checked LIVE 200 image/png len=116944 (filename embeds exact article). Model-quote:""sku"": ""2608631017"" from live MY page text; corroborated by ""2 608 631 017"" on archived SG official page.",2|3
6981,1043,BOS-2608-603-703,PCS,reject,https://www.bosch-pt.com.my/my/en/products/flexible-flap-disc-x435-100mm-120p-2608603703,,n/a,no,yes,Official (archived era) sold as Pack of 10,unknown,"Email Robert Bosch Sdn Bhd accessories marketing for X435 100mm 120-grit flap disc product photo (article 2 608 603 703), or crop from official catalogue; else shoot in-store.",2,"p:archived official MY page flexible-flap-disc-x435-100mm-120p-209411-2608603703.html quotes Part number ""2 608 603 703"", spec ""100 mm, 16mm, 120P"", Pack quantity 10, image path images.bosch-pt.com.my/.../flexible-flap-disc-x435-100mm-120p/800x800x119302-92479.jpg - but that CDN host is DEAD and the asset was never captured by web.archive (2024id_ 404). Live replacement page /my/en/products/flexible-flap-disc-x435-100mm-120p-2608603703 (200, title ""X435 Standard for Metal Flap Discs..."") embeds ONLY sibling media o306071v82_2608603701_bo_pro_u_f_1.png (70-grit sibling); no _2608603703_ asset anywhere (guessed variant 404). No usable model-specific image => reject.",2
6982,1044,BOS-2608-603-706,PCS,reject,https://www.bosch-pt.com.my/my/en/products/flexible-flap-disc-x435-100mm-220p-2608603706,,n/a,no,yes,Official (archived era) sold as Pack of 10,unknown,"Email Robert Bosch Sdn Bhd accessories marketing for X435 100mm 220-grit flap disc photo (article 2 608 603 706), or crop official catalogue; else shoot in-store.",2,"p:archived official MY page flexible-flap-disc-x435-100mm-220p-209411-2608603706.html quotes Part number ""2 608 603 706"" spec ""100mm, 16mm, 220P"" Pack of 10, image .../flexible-flap-disc-x435-100mm-220p/800x800x119305-92479.jpg on now-defunct unarchived CDN. Live page /my/en/products/flexible-flap-disc-x435-100mm-220p-2608603706 (200) embeds only sibling 701-family media; no _2608603706_ asset (variant guess 404). Reject per family-hero rule.",2
